"","periodo","provincia","departamento","titulares","titulares_por2","mes","anio","mes_n"
"1008",2021-03-01,"Misiones","Apóstoles",134,268,"marzo",2021,3
"1009",2021-08-01,"Misiones","Guaraní",134,268,"agosto",2021,8
"1010",2021-10-01,"Misiones","Guaraní",134,268,"octubre",2021,10
"1011",2021-01-01,"Misiones","General Manuel Belgrano",135,270,"enero",2021,1
"1012",2021-07-01,"Misiones","Guaraní",136,272,"julio",2021,7
"1013",2020-04-01,"Misiones","San Ignacio",138,276,"abril",2020,4
"1014",2020-03-01,"Misiones","San Ignacio",139,278,"marzo",2020,3
"1015",2020-05-01,"Misiones","San Ignacio",139,278,"mayo",2020,5
"1016",2020-06-01,"Misiones","San Ignacio",139,278,"junio",2020,6
"1017",2020-07-01,"Misiones","Iguazú",140,280,"julio",2020,7
"1018",2020-08-01,"Misiones","Iguazú",142,284,"agosto",2020,8
"1019",2020-10-01,"Misiones","Iguazú",142,284,"octubre",2020,10
"1020",2020-11-01,"Misiones","Iguazú",142,284,"noviembre",2020,11
"1021",2021-02-01,"Misiones","General Manuel Belgrano",142,284,"febrero",2021,2
"1022",2021-03-01,"Misiones","General Manuel Belgrano",142,284,"marzo",2021,3
"1023",2020-08-01,"Misiones","San Ignacio",144,288,"agosto",2020,8
"1024",2020-09-01,"Misiones","San Ignacio",145,290,"septiembre",2020,9
"1025",2020-07-01,"Misiones","Candelaria",147,294,"julio",2020,7
"1026",2020-11-01,"Misiones","Leandro N. Alem",147,294,"noviembre",2020,11
"1027",2021-04-01,"Misiones","Apóstoles",147,294,"abril",2021,4
"1028",2020-10-01,"Misiones","Leandro N. Alem",148,296,"octubre",2020,10
"1029",2020-05-01,"Misiones","Iguazú",149,298,"mayo",2020,5
"1030",2020-06-01,"Misiones","Iguazú",149,298,"junio",2020,6
"1031",2020-09-01,"Misiones","Iguazú",149,298,"septiembre",2020,9
"1032",2021-03-01,"Misiones","Oberá",149,298,"marzo",2021,3
"1033",2020-03-01,"Misiones","Iguazú",150,300,"marzo",2020,3
"1034",2020-04-01,"Misiones","Iguazú",150,300,"abril",2020,4
"1035",2021-04-01,"Misiones","Montecarlo",150,300,"abril",2021,4
"1036",2020-09-01,"Misiones","Candelaria",153,306,"septiembre",2020,9
"1037",2021-01-01,"Misiones","Libertador General San Martín",153,306,"enero",2021,1
"1038",2021-04-01,"Misiones","San Javier",153,306,"abril",2021,4
"1039",2020-03-01,"Misiones","Candelaria",154,308,"marzo",2020,3
"1040",2020-05-01,"Misiones","Candelaria",154,308,"mayo",2020,5
"1041",2020-04-01,"Misiones","Candelaria",155,310,"abril",2020,4
"1042",2020-06-01,"Misiones","Candelaria",156,312,"junio",2020,6
"1043",2020-08-01,"Misiones","Candelaria",156,312,"agosto",2020,8
"1044",2021-05-01,"Misiones","San Javier",157,314,"mayo",2021,5
"1045",2021-06-01,"Misiones","San Javier",157,314,"junio",2021,6
"1046",2021-03-01,"Misiones","Libertador General San Martín",158,316,"marzo",2021,3
"1047",2021-02-01,"Misiones","Libertador General San Martín",159,318,"febrero",2021,2
"1048",2021-04-01,"Misiones","Oberá",159,318,"abril",2021,4
"1049",2021-05-01,"Misiones","Apóstoles",161,322,"mayo",2021,5
"1050",2021-02-01,"Misiones","Cainguás",164,328,"febrero",2021,2
"1051",2021-03-01,"Misiones","Cainguás",164,328,"marzo",2021,3
"1052",2021-06-01,"Misiones","Apóstoles",164,328,"junio",2021,6
"1053",2020-07-01,"Misiones","Guaraní",166,332,"julio",2020,7
"1054",2020-12-01,"Misiones","Leandro N. Alem",167,334,"diciembre",2020,12
"1055",2020-04-01,"Misiones","Guaraní",169,338,"abril",2020,4
"1056",2020-05-01,"Misiones","Guaraní",169,338,"mayo",2020,5
"1057",2020-06-01,"Misiones","Guaraní",169,338,"junio",2020,6
"1058",2020-10-01,"Misiones","Candelaria",169,338,"octubre",2020,10
"1059",2020-11-01,"Misiones","Candelaria",169,338,"noviembre",2020,11
"1060",2020-03-01,"Misiones","Guaraní",170,340,"marzo",2020,3
"1061",2020-10-01,"Misiones","San Ignacio",170,340,"octubre",2020,10
