,created_at,text,id,author_id
24,2022-01-26T21:43:01.000Z,"#PaseSanitario
#PaseDeMierda 
#PaseDeMierda 
Ché @donofriojorge Tambien le pedis PASE a los violadores? a los Chorros? a los asesinos? a los secuestradores de niñas q pasan a Paraguay? Le pedis PASE a los bolivianos q vienen a cobrar planes o a votar por la runfla de turno? https://t.co/PQo2JNUWuI",1486454657454985218,1357989451
25,2022-01-26T21:40:12.000Z,@polibio10 @Semabe2010 @santadelcielo Yo en el feriado me voy a conocer las costas de #CarlosCasares no les abro ni loca!!! Ese va a hacer el trabajo de todos los chorros que largaron! Acá no se pide #PaseSanitario se pide Antecedentes Penales,1486453946356887552,158504737
26,2022-01-26T21:38:37.000Z,"#pasesanitario
#amparojudicial https://t.co/NsFQDJFqtw",1486453547080187904,3398980149
27,2022-01-26T21:38:16.000Z,#Grafeno #TodasTieneGrafeno #TodastienenVeneno #ConLosNiñosNo #PaseSanitario #Plandemia despierten esto fue planeado hace mucho tiempo #Despierta https://t.co/j3rWIJJRWM,1486453458144092164,1250762110365249537
28,2022-01-26T21:36:33.000Z,"#PaseSanitario
#PaseSanitario 
#PaseDeMierda
#PaseDeMierda 
#PaseDeMierda 
NO es obligatorio vacunarse pero te prohiben viajar éstos manga de inútiles! y vos @donofriojorge  ministro de transporte no tenés vergüenza de decirlo por tv!. METETE EL PASE EN EL CULO. YO NO ME VACUNO https://t.co/28L2WX9Ceh",1486453029486272515,1357989451
29,2022-01-26T21:36:29.000Z,"Humilde y profesionalmente como médico, creo muy importante NO POLITIZAR el #PaseSanitario por sobrados y comprobados motivos y la #vacunacioncovid19 debe ser completa y obligatoria. Soy anti K 100% anti Populista a morir. Pero con la SALUD no se juega. https://t.co/4RXEvb3tCZ",1486453010871963648,128071924
30,2022-01-26T21:35:33.000Z,"#SantaFe: La ministra de Educación, Adriana Cantero, descartó que la provincia exija el #PaseSanitario a los alumnos para el regreso a las clases, y señaló que existen las condiciones sanitarias para un comienzo del ciclo lectivo “de manera segura y con presencialidad plena”. https://t.co/f1dis18hWc",1486452775118462979,4790327843
31,2022-01-26T21:30:01.000Z,#TodasLasVacunasCuentan #TodasTieneGrafeno #PaseSanitario https://t.co/d3neov3dG2,1486451384904044553,1318008782237192193
32,2022-01-26T21:27:58.000Z,@radiomitre Acá no pasan todos con antecedentes penales!! Hay #PaseSanitario no hay #Censo2022,1486450868404690945,158504737
33,2022-01-26T21:27:04.000Z,@infobae Los derechos humanos ustedes los avasallan todos los días cuando nos roban o matan y ahora el #PaseSanitario,1486450641870344194,1594048945
34,2022-01-26T21:23:09.000Z,"@CanalQuilmes #ConLosNiñosNo 

No al #NaziPase o #PaseSanitario",1486449655290466313,700464940151230464
35,2022-01-26T21:21:01.000Z,"#Provincia: Evalúan exigir también el pase sanitario en las escuelas públicas

Seguí leyendo acá 👉 https://t.co/JLOEhNOBPY

#escuelas #PaseSanitario https://t.co/k0I60HEQN9",1486449117966520321,270429330
36,2022-01-26T21:16:35.000Z,"Desde cuando cedimos nuestro poder para que nos lleven a ésto?? 🥴👇 👇 
#PLANdemia 💉 💉 💉 #Despierten #ErrordeTipeo #DictaduraSanitaria #GobiernoGenocida #LosNinosNoSeTocan #TodasTienenGrafeno #Grafeno #PaseSanitario #PatriaLibreYSoberana #NoAlPaseSanitario https://t.co/zhIFkbuvkH",1486448003313451018,1481258961177296899
37,2022-01-26T21:13:35.000Z,"Con bicicleta o a caballo
#PaseSanitario",1486447247210401792,1007023102977593345
38,2022-01-26T21:12:21.000Z,"si a la gente común le piden #PaseSanitario la gente común podría exigir rinoscopía o antidoping para los políticos no?? 

QUE PROBLEMA PARA EL GOBERNADOR Y SU GABINETE!!!!",1486446937859571713,584427012
39,2022-01-26T21:11:49.000Z,Que hay de cierto que empiezan a pedir el #PaseSanitario en los colectivos de corta y larga distancia? Alguien sabe?,1486446802786299913,1458142528004313092
40,2022-01-26T21:11:26.000Z,@nkreplak Que interesante lo del #PaseSanitario 🤦 https://t.co/FRMV1GiAQw,1486446706254401552,1468698045810454537
41,2022-01-26T21:11:01.000Z,"AIRE.
@JuanDip1980 
Decano
Facultad de Ciencias Económicas.
@un_misiones 
#PaseSanitario",1486446600318857225,143054975
42,2022-01-26T21:03:03.000Z,"España detecta 321 miocarditis en 60,5 millones de vacunaciones covid.

El porcentaje de efectos colaterales es bajo, aunque esas 321 son también importantes y les arruinan la vida. 

#PaseSanitario #Grafeno
https://t.co/8za2vamkJI",1486444597614190596,1455201945342328839
43,2022-01-26T21:01:00.000Z,"TODA PUESTA EN ESCENA LLEGA A SU FINAL, el teatro continúa con su programa...
👇
Dinamarca elimina todas las restricciones y se convierte en el primer país en decretar el fin de la pandemia
#COVID19 #Dinamarca #PaseSanitario #DictaduraSanitaria  https://t.co/0bz1lfCJfz",1486444079886049280,750842867841728512
44,2022-01-26T21:00:54.000Z,"El gobierno de la IGUALDAD y de la INCLUSION #PROVINCIAdeBsAs
Te pone un cartel en las mesas de shopping q si vos no te vacunaste no podes usarla.
Lo más gracioso es q si no mostras el #PaseSanitario o #PaseNAZItario no te dejan entrar.
#DobleDiscurso #ElPeorGobiernoDeLaHistoria https://t.co/89OuTKk2m7",1486444057354244096,3130905893
45,2022-01-26T20:59:38.000Z,"#PAÍS | #PaseSanitario: a partir de mañana, para viajar en #transporte público, habrá que exhibir el pase sanitario con al menos una #vacuna. https://t.co/BmEPtE1UMy",1486443737563676678,705109021997604864
46,2022-01-26T20:59:04.000Z,"La pregunta es, cómo la gente permite que cualquier pibe de la campora, q cualquier municipal come bizcochitos Don Satur le coloque la vacuna? Estamos anestesiados o somos así de nacimiento? #COVID19 #PaseSanitario https://t.co/rtvNsEf1mu",1486443595296956418,1451872945618493440
47,2022-01-26T20:58:07.000Z,"ARGENTINA: 120.019 muertos por el robo de vacunas y fiestas VIP 

#MasCuarentonasYMenosCuarentena #Coronavirus #Pandemia #Corona #Arg #RealidadMataRelato #Argentina #Olivos #Omicron #EmosidoEngañado #VacunatorioVip  #RobaronLasVacunas #VerguenzaMundial #PaseSanitario #120000 https://t.co/pdDz53kZVk",1486443355139497986,2499163662
48,2022-01-26T20:58:00.000Z,"Si no se quieren vacunar, tienen que depender cada vez menos de este sistema. No queda otra. Ya sé que no podré viajar, ni ir a cobrar dinero al banco que venga del exterior, etc. Hasta que algo cambie.
Es el precio que pagas por la libertad.

#PaseSanitario #Grafeno",1486443324814901256,1455201945342328839
